	infer([happens(e(S,A),T),subject(e(S,A),S),act(e(S,A),A)])
{S/s1,A/sit,T/1205}	0.076250276
{S/s1,A/sit,T/258}	0.78771259
{S/s1,A/sit,T/273}	0.0083629137
{S/s1,A/sit,T/275}	0.50752939
{S/s1,A/sit,T/378}	0.13414444
{S/s1,A/sit,T/456}	0.52454003
{S/s1,A/sit,T/460}	0.0024693878
{S/s1,A/sit,T/528}	0.80818367
{S/s1,A/sit,T/539}	0.0039654164
{S/s1,A/sit,T/611}	0.63455891
{S/s1,A/sit,T/800}	0.01767141
{S/s1,A/sit,T/920}	0.61099157
{S/s1,A/stand,T/1205}	0.44652279
{S/s1,A/stand,T/273}	0.72426225
{S/s1,A/stand,T/275}	0.027804657
{S/s1,A/stand,T/378}	0.33921713
{S/s1,A/stand,T/456}	0.018148182
{S/s1,A/stand,T/460}	0.80818367
{S/s1,A/stand,T/528}	0.0024693878
{S/s1,A/stand,T/539}	0.77471045
{S/s1,A/stand,T/611}	0.01840537
{S/s1,A/stand,T/800}	0.63153473
{S/s1,A/stand,T/920}	0.021173713
{S/s2,A/sit,T/1429}	0.84599261
{S/s2,A/sit,T/1705}	0.0032714046
{S/s2,A/sit,T/1782}	0.79660309
{S/s2,A/sit,T/1855}	0.0024693878
{S/s2,A/sit,T/1919}	0.80068273
{S/s2,A/sit,T/2061}	0.0030804891
{S/s2,A/sit,T/2125}	0.77817144
{S/s2,A/sit,T/2129}	0.011225004
{S/s2,A/stand,T/1705}	0.78990044
{S/s2,A/stand,T/1782}	0.0031095204
{S/s2,A/stand,T/1855}	0.80818367
{S/s2,A/stand,T/1919}	0.0026443308
{S/s2,A/stand,T/2061}	0.79339047
{S/s2,A/stand,T/2125}	0.0039116653
{S/s2,A/stand,T/2129}	0.69780416
